relation_id,sentence_id,description,is_true,expectation,words,p_start,p_length,c_start,c_length
3800627@20_20-3800627@20_1,3800627@20,Malouf Abraham-Malouf Abraham Family Arts Center,,0.664,"{The,Malouf,Abraham,Family,Arts,Center,on,the,Wayland,campus,was,endowed,by,the,family,of,the,late,State,Representative,Malouf,Abraham,"","",Sr.,"","",and,his,son,"","",Malouf,Abraham,"","",Jr.,"","",a,retired,allergist,and,active,art,collector,from,Canadian,"","",the,seat,of,Hemphill,County,in,the,northeastern,Texas,Panhandle,.}",20,2,1,5
10386867@27_21-10386867@27_18,10386867@27,George Wimpey-Bryant Homes,,0.356,"{Taylor,Wimpey,s,United,Kingdom,operations,are,increasingly,focused,on,the,Taylor,Wimpey,brand,with,historic,brands,-LRB-,Bryant,Homes,"","",George,Wimpey,"","",Laing,Homes,and,G2,-RRB-,being,phased,out,.}",21,2,18,2
669502@16_34-669502@16_9,669502@16,Tenda-IBM,,0.388,"{Major,customers,include,Apple,"","",Hewlett-Packard,"","",Motorola,"","",IBM,"","",Dell,"","",Asus,"","",Lenovo,"","",Linksys,"","",Logitech,"","",Nintendo,"","",Nokia,Siemens,Networks,"","",Nortel,-LRB-,Avaya,-RRB-,"","",TiVo,"","",Tenda,"","",and,Cisco,Systems,.}",34,1,9,1
30410181@5_0-30410181@5_4,30410181@5,Klar-Great American Travel,,0.68,"{Klar,'s,company,"","",Great,American,Travel,became,one,of,the,most,successful,wholesale,travel,organizations,in,America,through,the,succeeding,years,.}",0,1,4,3
1495634@2_6-1495634@2_19,1495634@2,Dean Zelinsky-Armadillo Enterprises,,0.668,"{It,was,founded,in,1977,by,Dean,Zelinsky,in,Chicago,"","",Illinois,and,is,currently,under,the,ownership,of,Armadillo,Enterprises,in,Tampa,"","",Florida,.}",6,2,19,2
31817612@2_86-31817612@2_102,31817612@2,Belvantage-Bogo Power,,0.5,"{Melstacorp,Limited,has,a,Net,asset,value,of,USD,290,million,and,is,the,holding,company,of,many,subsidiaries,and,significant,interests,of,the,DCSL,group,including,Sri,Lanka,'s,largest,producer,of,Sugar,and,Ethanol,Pelwatte,Sugar,Industries,PLC,"","",Periceyl,Private,Limited,that,represents,Pernod,Ricard,brands,in,Sri,Lanka,"","",Milford,Holdings,-LRB-,Private,-RRB-,Limited,"","",Melsta,Logistics,-LRB-,Private,-RRB-,Limited,"","",Melsta,Properties,-LRB-,Private,-RRB-,Limited,"","",Melsta,Brands,-LRB-,Private,-RRB-,Limited,"","",Melsta,Regal,Finance,Limited,"","",Belvantage,-LRB-,Private,-RRB-,Limited,"","",Continental,Insurance,Lanka,Limited,Splendormedia,-LRB-,Private,-RRB-,Limited,"","",Bogo,Power,-LRB-,Private,-RRB-,Limited,"","",Balangoda,Plantations,PLC,"","",Melsta,Tower,-LRB-,Private,-RRB-,Limited,and,Lanka,Bell,Limited,.}",86,1,102,2
19456676@97_3-19456676@97_50,19456676@97,Jeff Beck-Metallica,,0.5,"{Some,clients,include,Jeff,Beck,-LRB-,The,Yardbirds,-RRB-,"","",Peter,Buck,-LRB-,R.E.M.,-RRB-,"","",Eric,Clapton,"","",Charlie,Daniels,"","",Bob,Dylan,"","",John,Fogerty,-LRB-,Creedence,Clearwater,Revival,-RRB-,"","",Billy,Gibbons,-LRB-,ZZ,Top,-RRB-,"","",Paul,Gilbert,-LRB-,Mr.,Big,-RRB-,"","",Kirk,Hammett,-LRB-,Metallica,-RRB-,"","",Mick,Jagger,-LRB-,The,Rolling,Stones,-RRB-,"","",Mark,Knopfler,-LRB-,Dire,Straits,-RRB-,"","",Mick,Mars,-LRB-,M,tley,Cr,e,-RRB-,"","",Steve,Miller,"","",Bob,Mould,-LRB-,H,sker,D,"","",Sugar,-RRB-,"","",Jimmy,Page,-LRB-,Led,Zeppelin,-RRB-,"","",Prince,"","",Chris,Poland,-LRB-,Megadeth,"","",OHM,-RRB-,"","",Brian,Setzer,-LRB-,Stray,Cats,"","",Brian,Setzer,Orchestra,-RRB-,"","",Dan,Spitz,-LRB-,Anthrax,-RRB-,"","",George,Thorogood,"","",Eddie,Van,Halen,-LRB-,Van,Halen,-RRB-,"","",and,Stevie,Ray,Vaughan,The,official,THD,website,includes,a,much,more,comprehensive,``,THD,Artist,List,'',.}",3,2,50,1
25629569@3_16-25629569@3_21,25629569@3,Mittnabot-Trondheim Central Station,,0.62,"{In,addition,to,buses,and,coaches,"","",the,authority,is,jointly,responsible,for,regional,train,service,Mittnabot,get,that,operates,between,Trondheim,Central,Station,in,Norway,"","",via,stersund,Central,Station,to,Sundsvall,Central,Station,.}",16,1,21,3
2796043@42_27-2796043@42_21,2796043@42,Mark W. Clark-U. S. Army,,0.59,"{Tactics,of,reconstruction,became,a,subject,of,a,debate,between,the,Department,of,State,"","",which,advocated,nationalization,"","",and,the,U.,S.,Army,"","",represented,by,Mark,W.,Clark,"","",who,stood,for,privatization,.}",27,3,21,3
5264965@25_61-5264965@25_22,5264965@25,Jadu-CSS,,0.462,"{In,2007,"","",Jadu,'s,design,for,Kettering,Borough,Council,-LRB-,designed,by,Lee,Pilmore,-RRB-,was,nominated,a,finalist,for,the,CSS,category,in,the,SXSW,-LRB-,South,by,South,West,-RRB-,awards,-,for,``,pushing,the,boundaries,of,CSS,coding,technology,"","",bringing,together,top-notch,design,and,content,with,standards,compliant,and,accessible,code,'',In,2008,"","",Jadu,launched,Manchester,City,Council,'s,website,using,the,Jadu,CMS,"","",which,won,the,BT,Online,Excellence,award,as,the,Best,Local,Government,website,in,Britain,.}",61,1,22,1
15230559@13_23-15230559@13_27,15230559@13,George Illawarra Dragons-Wests Tigers Super League,,0.404,"{Canberra,Raiders,"","",Manly,Warringah,Sea,Eagles,"","",Newcastle,Knights,"","",North,Queensland,Cowboys,"","",South,Sydney,Rabbitohs,"","",Sydney,Roosters,"","",St.,George,Illawarra,Dragons,"","",Wests,Tigers,Super,League,.}",23,3,27,4
129205@206_10-129205@206_8,129205@206,Jack Layton-NDP,,0.476,"{Wilkins,"","",Conservative,Leader,Stephen,Harper,"","",and,NDP,leader,Jack,Layton,accused,Martin,of,orchestrating,a,row,with,the,US,in,order,to,garner,public,support,during,an,election,campaign,and,noted,that,Canada,'s,record,in,cutting,carbon,dioxide,emissions,is,worse,than,that,of,the,US,.}",10,2,8,1
3761108@38_32-3761108@38_37,3761108@38,Mezz-Emporio Armani Caff,,0.512,"{In,1998,"","",Maxim,'s,launched,a,new,restaurant,series,named,m.a.x.,concepts,"","",which,managed,such,restaurant,brands,as,MAX,"","",Cellini,"","",Mecca,"","",Thai,Basil,"","",eating,plus,"","",Mezz,"","",caf,Landmark,and,Emporio,Armani,Caff,.}",32,1,37,3
8050605@3_11-8050605@3_19,8050605@3,Alfred-Baltimore,,0.44,"{As,a,member,of,New,York,'s,wealthy,Vanderbilt,family,"","",Alfred,would,become,the,owner,and,president,of,Baltimore,'s,Pimlico,Race,Course,.}",11,1,19,1
985091@20_19-985091@20_25,985091@20,Henry Graves-Sotheby,,0.334,"{The,Henry,Graves,Supercomplication,timepiece,"","",made,by,the,luxury,watchmaker,Patek,Philippe,in,1933,for,the,prominent,banker,Henry,Graves,"","",was,sold,at,Sotheby,'s,in,Switzerland,.}",19,2,25,1
25492904@32_2-25492904@32_19,25492904@32,Strutt-Belper Town Council,,0.57,"{Portraits,of,Strutt,and,``,Mrs,George,Strutt,'',"","",both,by,Frank,Ernest,Beresford,"","",are,owned,by,Belper,Town,Council,and,Derby,Art,Gallery,respectively,.}",2,1,19,3
77546@34_31-77546@34_23,77546@34,Jesse Marsh-Random House,,0.59,"{In,2004,"","",Dark,Horse,Comics,began,reprinting,some,of,Western,'s,original,comic,book,properties,"","",which,by,then,were,owned,by,Random,House,"","",along,with,Tarzan,from,the,Jesse,Marsh,era,.}",31,2,23,2
19941524@26_19-19941524@26_5,19941524@26,Steloff-Gotham Book Mart,,0.414,"{The,building,that,housed,the,Gotham,Book,Mart,for,the,longest,period,of,its,existence,was,purchased,by,Miss,Steloff,from,Columbia,University,in,1946,for,$,""65,000"",.}",19,1,5,3
948334@60_3-948334@60_9,948334@60,Merv Griffin-Barry & Enright,,0.268,"{Along,with,the,Merv,Griffin,"","",Chuck,Barris,"","",Barry,&,Enright,"","",and,CPT,game,shows,they,already,owned,"","",these,were,part,of,the,basis,of,the,Game,Show,Network,"","",launched,on,December,1,"","",1994,.}",3,2,9,3
30600154@19_30-30600154@19_21,30600154@19,Nicholas Lancaster-Malaya Group plc,,0.43,"{In,1970,"","",H.R.,Owen,was,sold,to,Gerald,Ronson,'s,Heron,International,"","",remaining,under,that,ownership,until,bought,by,Malaya,Group,plc,in,1994,under,the,leadership,of,Nicholas,Lancaster,.}",30,2,21,3
37478842@5_139-37478842@5_101,37478842@5,Safi-University Center,,0.482,"{Cadi,Ayyad,University,"","",established,in,1978,"","",has,13,institutions,which,are,:,Faculty,of,Sciences,Semlalia,-LRB-,1978,79,-RRB-,"","",Faculty,of,Letters,and,Human,Sciences,-LRB-,1978,79,-RRB-,"","",Faculty,of,Law,"","",Economic,and,Social,Sciences,-LRB-,1978,79,-RRB-,"","",Faculty,of,Sciences,and,Techniques,-LRB-,1991,92,-RRB-,;,Faculty,of,Sciences,and,Techniques,-LRB-,1997,98,-RRB-,"","",National,School,of,Applied,Sciences,"","",National,School,of,Commerce,and,Management,-LRB-,2004,05,-RRB-,and,Ecole,Normale,Sup,rieure,"","",all,in,Marrakesh,;,Ecole,Sup,rieure,de,Technologie,in,Essaouira,;,University,Center,-LRB-,2007,08,-RRB-,in,Kelaa,of,Essraghna,;,Ecole,Sup,rieure,de,Technologie,-LRB-,1992,93,-RRB-,"","",Facult,Polydisciplinaire,-LRB-,2003,04,-RRB-,and,National,School,of,Applied,Sciences,-LRB-,2003,04,-RRB-,in,Safi,.}",139,1,101,2
28909177@179_17-28909177@179_42,28909177@179,Nelson Piquet-Qualcomm,,0.532,"{Following,the,departure,of,Ricky,Carmichael,"","",the,No.,4,team,transitioned,to,the,No.,30,and,Nelson,Piquet,"","",Jr.,and,crew,chief,Chris,Carrier,were,brought,over,from,KHI,to,drive,the,No.,30,truck,in,2012,with,sponsorship,from,Qualcomm,and,Autotrac,.}",17,2,42,1
7980844@3_45-7980844@3_0,7980844@3,Momentis-Just Energy,,0.588,"{Just,Energy,is,a,publicly,traded,company,-LRB-,TSX,:,JE,"","",NYSE,:,JE,-RRB-,and,serves,4.5,million,customers,collectively,under,its,affiliate,companies,Just,Energy,"","",Hudson,Energy,"","",Commerce,Energy,"","",Tara,Energy,"","",Amigo,Energy,"","",National,Home,Services,"","",Momentis,"","",Hudson,Energy,Solar,"","",Green,Star,Energy,and,Terra,Grain,Fuels,.}",45,1,0,2
29887303@10_23-29887303@10_0,29887303@10,Chaunoy-Exxon,,0.414,"{Exxon,'s,operational,presence,in,France,was,bought,out,in,July,2006,;,oil,production,and,exploration,in,that,region,of,France,-LRB-,Chaunoy,-RRB-,goes,back,to,the,early,1980s,.}",23,1,0,1
25470918@1_19-25470918@1_0,25470918@1,Asie-Cin - Asie Creatives,,0.614,"{Cin,-,Asie,Creatives,Cin,-,Asie,Creatives,was,established,in,2008,as,a,sister,company,of,Cin,-,Asie,.}",19,1,0,4
732644@8_33-732644@8_14,732644@8,Veglia Borletti-Cofap,,0.594,"{Subsidiaries,and,brands,of,the,company,include,AL-Automotive,Lighting,"","",Carello,"","",Cromodora,"","",Cofap,"","",Ergom,Automotive,"","",Jaeger,"","",Mako,Elektrik,"","",Paraflu,"","",Seima,"","",Siem,SpA,"","",Solex,"","",Veglia,Borletti,"","",Vitaloni,and,Weber,.}",33,2,14,1
17347639@4_12-17347639@4_26,17347639@4,Marcel Herrmann Telles-Anheuser-Busch,,0.704,"{It,is,controlled,by,three,Brazilian,billionaires,:,Jorge,Paulo,Lemann,"","",Marcel,Herrmann,Telles,and,Carlos,Alberto,Sicupira,"","",the,same,trio,that,drives,the,Anheuser-Busch,InBev,"","",3G,Capital,"","",S,o,Carlos,S.A.,and,other,groups,.}",12,3,26,1
342015@20_7-342015@20_11,342015@20,Ken Tyrrell-Matra International,,0.588,"{Matra,would,instead,focus,its,efforts,on,Ken,Tyrrell,'s,`,Matra,International,',team,and,build,a,new,DFV,powered,car,with,structural,fuel,tanks,"","",even,though,it,would,only,be,eligible,for,a,single,season,.}",7,2,11,2
53273@381_40-53273@381_24,53273@381,John Canning-Baltimore Orioles,,0.518,"{Management,and,ownership,of,professional,athletic,franchises,include,Adam,Silver,-LRB-,NBA,commissioner,-RRB-,"","",John,P.,Angelos,-LRB-,Executive,Vice,President,of,the,Baltimore,Orioles,-RRB-,"","",Aubrey,McClendon,-LRB-,partial,owner,of,the,Oklahoma,City,Thunder,-RRB-,"","",John,Canning,"","",Jr.,-LRB-,co-owner,of,Milwaukee,Brewers,-RRB-,"","",Danny,Ferry,-LRB-,former,general,manager,of,the,Cleveland,Cavaliers,-RRB-,"","",Stephen,Pagliuca,-LRB-,co-owner,of,Boston,Celtics,-RRB-,"","",and,Jeffrey,Vinik,-LRB-,owner,of,the,Tampa,Bay,Lightning,-RRB-,.}",40,2,24,2
20196112@13_13-20196112@13_18,20196112@13,Vincent A. Albers Jr.-USMC Retired,,0.632,"{The,Child,Alert,Foundation,-LRB-,CAF,-RRB-,was,founded,in,1998,by,Col.,Vincent,A.,Albers,Jr.,-LRB-,USMC,Retired,-RRB-,"","",Nancy,T.,Albers,"","",Vincent,A.,Albers,III,and,Marlene,R.,Slater,to,help,law,enforcement,agencies,across,the,nation,immediately,notify,their,surrounding,communities,of,missing,and,abducted,children,.}",13,4,18,2
1197294@8_15-1197294@8_100,1197294@8,Belkin-Motorola Solutions,,0.522,"{Its,principal,competitors,include,:,within,the,consumer,markets,"","",companies,such,as,Apple,"","",Belkin,"","",D-Link,"","",Linksys,"","",Roku,"","",and,Western,Digital,;,and,within,the,business,markets,"","",companies,such,as,Allied,Telesis,"","",Barracuda,"","",Buffalo,"","",Data,Robotics,"","",Dell,"","",Cyberoam,"","",D-Link,"","",Fortinet,"","",Hewlett-Packard,"","",Huawei,"","",Cisco,Systems,"","",Linksys,"","",QNAP,Systems,"","",Seagate,Technology,"","",SonicWALL,"","",Synology,"","",WatchGuard,and,Western,Digital,;,and,within,the,service,provider,markets,"","",companies,such,as,Actiontec,"","",ARRIS,"","",Comtrend,"","",D-Link,"","",Hitron,"","",Huawei,"","",Motorola,Solutions,"","",Pace,"","",SAGEM,"","",Scientific,Atlanta-a,Cisco,company,"","",SMC,Networks,"","",Technicolor,"","",Ubee,"","",Compal,Broadband,"","",ZTE,and,ZyXEL,.}",15,1,100,2
69323@205_4-69323@205_11,69323@205,Jessica Biel-Memphis Grizzlies,,0.33,"{Timberlake,and,his,wife,Jessica,Biel,are,minority,owners,of,the,Memphis,Grizzlies,.}",4,2,11,2
9643201@1_0-9643201@1_17,9643201@1,Samir Brikho Samir Yacoub Brikho FREng-Amec Foster Wheeler,,0.482,"{Samir,Brikho,Samir,Yacoub,Brikho,FREng,-LRB-,born,3,May,1958,-RRB-,"","",is,Chief,Executive,of,Amec,Foster,Wheeler,"","",one,of,the,UK,'s,largest,consultancy,"","",engineering,"","",project,management,and,construction,management,businesses,.}",0,6,17,3
10576638@94_12-10576638@94_5,10576638@94,Baron Davis-Verso Entertainment,,0.362,"{Through,Balance,Vector,Productions,and,Verso,Entertainment,"","",Luczo,and,NBA,star,Baron,Davis,produced,the,film,'','',"","",which,was,directed,by,Stacy,Peralta,and,premiered,at,the,2007,Sundance,Film,Festival,.}",12,2,5,2
46252@18_52-46252@18_64,46252@18,John Kluge-run-WTTG,,0.492,"{In,May,1985,"","",News,Corporation,"","",a,media,company,owned,by,Australian,newspaper,magnate,Rupert,Murdoch,that,had,mainly,served,as,a,newspaper,publisher,at,the,time,of,the,TCF,Holdings,deal,"","",agreed,to,pay,$,2.55,billion,to,acquire,independent,television,stations,in,six,major,U.S.,cities,from,the,John,Kluge-run,broadcasting,company,Metromedia,:,WNEW-TV,in,New,York,City,"","",WTTG,in,Washington,"","",D.C.,"","",KTTV,in,Los,Angeles,"","",KRIV-TV,in,Houston,"","",WFLD-TV,in,Chicago,"","",and,KRLD-TV,in,Dallas,.}",52,2,64,1
15326384@28_18-15326384@28_27,15326384@28,Davis Acoustics-Vampire Wire -LRB- U.S.A.,,0.546,"{For,component,parts,"","",high,frequency,drivers,are,sourced,from,ScanSpeak,-LRB-,Denmark,-RRB-,"","",midrange-bass,drivers,from,Davis,Acoustics,-LRB-,France,-RRB-,"","",internal,wiring,from,Vampire,Wire,-LRB-,U.S.A.,-RRB-,"","",and,rhodium,binding,posts,from,JA,Michell,-LRB-,U.K.,-RRB-,.}",18,2,27,4
17929939@36_8-17929939@36_21,17929939@36,Tommy-NASCAR,,0.568,"{Over,the,next,few,months,"","",Neil,"","",Tommy,"","",Davey,and,Bill,talked,and,discussed,the,many,opportunities,available,within,NASCAR,.}",8,1,21,1
20878676@5_42-20878676@5_39,20878676@5,Great Mills-Megabowl Oasis,,0.616,"{Among,the,firm,'s,most,notable,investments,are,Wagamama,"","",Gala,Bingo,"","",Equity,Insurance,Group,"","",Burton,'s,Foods,"","",Esporta,Health,Clubs,"","",Getty,Images,"","",The,Original,Factory,Shop,"","",LM,Funerals,"","",Marie,Brizard,"","",Megabowl,Oasis,"","",Great,Mills,and,Payzone,.}",42,2,39,2
30498279@26_8-30498279@26_21,30498279@26,Voldemort-Amazon,,0.272,"{Cloudant,'s,hosted,service,makes,clustering,similar,to,Voldemort,"","",Cassandra,"","",or,Riak,"","",as,it,implements,a,version,of,Amazon,'s,Dynamo,-LRB-,storage,system,-RRB-,.}",8,1,21,1
36254120@19_30-36254120@19_7,36254120@19,Dvorak-European Archive Foundation,,0.386,"{Before,focusing,on,web,archiving,"","",the,European,Archive,Foundation,has,collected,one,of,the,largest,online,free,classical,music,collections,-LRB-,more,than,800,pieces,"","",from,Mozart,to,Dvorak,-RRB-,and,Public,Information,Films,from,the,British,Government,"","",made,in,collaboration,with,the,Netherlands,Institute,for,Sound,and,Vision,and,the,UK,National,Archives,.}",30,1,7,3
1246843@142_32-1246843@142_19,1246843@142,Viktor Pinchuk-Nikopol Ferroalloy Plant,,0.668,"{He,said,that,Tymoshenko,was,serving,interests,of,some,businesses,"","",and,the,government,',decision,to,re-privatize,the,Nikopol,Ferroalloy,Plant,-LRB-,previously,owned,by,Leonid,Kuchma,s,son,in,law,Viktor,Pinchuk,-RRB-,``,was,the,last,drop,'',that,made,him,dismiss,the,government,.}",32,2,19,3
2088566@47_28-2088566@47_6,2088566@47,Buren-Buren Watch Company,,0.462,"{In,1966,"","",Hamilton,acquired,the,Buren,Watch,Company,of,B,ren,an,der,Aare,"","",Switzerland,"","",including,all,factories,and,technologies,that,had,been,developed,by,Buren,up,to,that,point,.}",28,1,6,3
35308998@15_18-35308998@15_5,35308998@15,Salvagnini Maschinenbau-Salvagnini Italia,,0.358,"{1993,marked,the,births,of,Salvagnini,Italia,and,"","",following,the,acquisition,of,part,of,Voest,Alpine,"","",Salvagnini,Maschinenbau,.}",18,2,5,2
39569@198_26-39569@198_6,39569@198,Tom Leonard-University,,0.5,"{In,more,recent,times,"","",the,University,was,the,focus,of,the,``,Glasgow,Group,'',of,poets,and,literary,critics,"","",including,Philip,Hobsbaum,"","",Tom,Leonard,and,Alisdair,Gray,.}",26,2,6,1
